UTC_Time,Account,Operation,Coin,Change,Remark
2021-05-10 20:29:11,Spot,Buy,ETH,0.07628000,""
2021-05-10 21:22:41,Spot,Small assets exchange BNB,LTC,-0.00000516,""
2021-05-10 21:22:42,Spot,Small assets exchange BNB,BNB,0.00000291,""
2021-05-11 01:43:39,Spot,POS savings interest,ADA,0.01803621,""
2021-05-11 03:23:17,Spot,Fee,BNB,-0.00037203,""
2021-05-11 03:23:17,Spot,Buy,ETH,0.08251000,""
2021-05-11 03:23:17,Spot,Transaction Related,USDT,-312.58335930,""
2021-05-12 01:42:35,Spot,POS savings interest,ADA,0.01803621,""
2021-05-13 01:43:48,Spot,POS savings interest,ADA,0.01803621,""
2021-05-13 22:50:42,Spot,Deposit,ETH,0.20827522,""
2021-05-13 23:29:37,Spot,transfer_out,BTC,-0.00200000,""
2021-05-13 23:29:37,P2P,transfer_in,BTC,0.00200000,""
2021-05-13 23:31:12,P2P,transfer_out,BTC,-0.00200000,""
2021-05-13 23:31:12,Spot,transfer_in,BTC,0.00200000,""
2021-05-13 23:34:04,Spot,Withdraw,BTC,-0.00150000,Withdraw fee is included
2021-05-13 23:44:10,Spot,Large OTC trading,ETH,-0.04165504,""
2021-05-13 23:44:10,Spot,Large OTC trading,ADA,78.77574795,""
2021-05-13 23:44:50,Spot,Large OTC trading,ETH,-0.03124128,""
2021-05-13 23:44:51,Spot,Large OTC trading,BTC,0.00233334,""
2021-05-13 23:45:20,Spot,Large OTC trading,BNB,0.20270030,""
2021-05-13 23:45:20,Spot,Large OTC trading,ETH,-0.03124128,""
2021-05-13 23:46:01,Spot,Small assets exchange BNB,BNB,0.00005673,""
2021-05-13 23:46:01,Spot,Small assets exchange BNB,USDT,-0.03293946,""
2021-05-14 03:35:05,Spot,POS savings interest,ADA,0.01803621,""
2021-05-15 01:00:21,Spot,POS savings interest,ADA,0.01803621,""
2021-05-16 01:01:12,Spot,POS savings interest,ADA,0.01803621,""
2021-05-16 20:00:12,Spot,Fee,BNB,-0.00122784,""
2021-05-16 20:00:12,Spot,Buy,USDT,899.22060000,""
2021-05-16 20:00:12,Spot,Transaction Related,ETH,-0.26293000,""
2021-05-17 01:00:26,Spot,POS savings interest,ADA,0.01803621,""
2021-05-17 04:03:38,Spot,Transaction Related,USDT,-899.20000000,""
2021-05-17 04:03:38,Spot,Buy,ETH,0.28100000,""
2021-05-17 04:03:38,Spot,Fee,BNB,-0.00134964,""
2021-05-17 22:02:41,Spot,Small assets exchange BNB,BNB,0.00003900,""
2021-05-17 22:02:41,Spot,Small assets exchange BNB,USDT,-0.02060000,""
2021-05-18 01:00:53,Spot,POS savings interest,ADA,0.01803621,""
2021-05-19 01:00:14,Spot,POS savings interest,ADA,0.01803621,""
2021-05-19 03:47:08,Spot,Deposit,BTC,0.00399931,""
2021-05-19 12:37:37,Spot,Fee,BNB,-0.00069780,""
2021-05-19 12:37:37,Spot,Buy,USDT,352.91228823,""
2021-05-19 12:37:37,Spot,Transaction Related,BTC,-0.00926700,""
2021-05-19 13:00:44,Spot,Buy,BTC,0.01037900,""
2021-05-19 13:00:44,Spot,Transaction Related,USDT,-352.88600000,""
2021-05-19 13:00:44,Spot,Fee,BNB,-0.00081025,""
2021-05-19 18:10:52,Spot,Buy,ADA,20.00000000,""
2021-05-19 18:10:52,Spot,Transaction Related,ETH,-0.01182085,""
2021-05-19 18:10:52,Spot,Buy,ADA,51.00000000,""
2021-05-19 18:10:52,Spot,Transaction Related,ETH,-0.03180105,""
2021-05-19 18:10:52,Spot,Buy,ADA,27.00000000,""
2021-05-19 18:10:52,Spot,Fee,BNB,-0.00008907,""
2021-05-19 18:10:52,Spot,Fee,BNB,-0.00016824,""
2021-05-19 18:10:52,Spot,Fee,BNB,-0.00006267,""
2021-05-19 18:10:52,Spot,Transaction Related,ETH,-0.01683693,""
2021-05-19 18:10:52,Spot,Transaction Related,ETH,-0.01245940,""
2021-05-19 18:10:52,Spot,Fee,BNB,-0.00006597,""
2021-05-19 18:10:52,Spot,Buy,ADA,19.00000000,""
2021-05-19 18:19:39,Spot,Small assets exchange BNB,USDT,-0.02628823,""
2021-05-19 18:19:39,Spot,Small assets exchange BNB,BNB,0.00006832,""
2021-05-20 01:02:21,Spot,POS savings interest,ADA,0.01803621,""
2021-05-21 01:01:20,Spot,POS savings interest,ADA,0.01803621,""
2021-05-21 16:03:48,Spot,Fee,BNB,-0.00036357,""
2021-05-21 16:03:48,Spot,Buy,USDT,153.33938040,""
2021-05-21 16:03:48,Spot,Transaction Related,BTC,-0.00415200,""
2021-05-21 17:19:26,Spot,Buy,XMR,0.28095000,""
2021-05-21 17:19:26,Spot,Fee,BNB,-0.00017601,""
2021-05-21 17:19:26,Spot,Transaction Related,USDT,-78.66600000,""
2021-05-21 17:19:27,Spot,Buy,XMR,0.26669000,""
2021-05-21 17:19:27,Spot,Fee,BNB,-0.00016707,""
2021-05-21 17:19:27,Spot,Transaction Related,USDT,-74.67320000,""
2021-05-22 00:56:56,Spot,Small assets exchange BNB,USDT,-0.00018040,""
2021-05-22 00:56:56,Spot,Small assets exchange BNB,BNB,5.4E-7,""
2021-05-22 13:21:27,Spot,POS savings interest,ADA,0.01803621,""
2021-05-23 01:00:12,Spot,POS savings interest,ADA,0.01803621,""
2021-05-23 15:51:20,Spot,Transaction Related,ETH,-0.09988000,""
2021-05-23 15:51:20,Spot,Fee,BNB,-0.00061077,""
2021-05-23 15:51:20,Spot,Buy,BUSD,191.40304040,""
2021-05-23 16:07:41,Spot,Transaction Related,BUSD,-191.40100000,""
2021-05-23 16:07:41,Spot,Buy,ETH,0.10346000,""
2021-05-24 01:00:02,Spot,POS savings interest,ADA,0.01803621,""
2021-05-25 01:00:22,Spot,POS savings interest,ADA,0.01803621,""
2021-05-26 06:20:49,Spot,POS savings interest,ADA,0.01803621,""
2021-05-27 00:56:18,Spot,POS savings interest,ADA,0.01803621,""
2021-05-28 00:57:25,Spot,POS savings interest,ADA,0.01803621,""
2021-05-28 22:55:08,Spot,Deposit,BTC,0.01151905,""
2021-05-28 23:00:06,Spot,Large OTC trading,ETH,0.04214667,""
2021-05-28 23:00:06,Spot,Large OTC trading,BTC,-0.00287976,""
2021-05-28 23:01:07,Spot,Large OTC trading,ADA,67.36280702,""
2021-05-28 23:01:07,Spot,Large OTC trading,BTC,-0.00287976,""
2021-05-28 23:01:48,Spot,Large OTC trading,XMR,0.23621579,""
2021-05-28 23:01:48,Spot,Large OTC trading,BTC,-0.00172785,""
2021-05-28 23:02:59,Spot,Large OTC trading,BTC,-0.00172786,""
2021-05-28 23:02:59,Spot,Large OTC trading,BNB,0.17949853,""
2021-05-29 00:56:41,Spot,POS savings interest,ADA,0.01803621,""
2021-05-29 03:58:54,Spot,Large OTC trading,BNB,0.16170035,""
2021-05-29 03:58:54,Spot,Large OTC trading,ETH,-0.02221122,""
2021-05-29 04:00:47,Spot,Large OTC trading,ETH,-0.02221122,""
2021-05-29 04:00:47,Spot,Large OTC trading,BTC,0.00153584,""
2021-05-30 00:57:03,Spot,POS savings interest,ADA,0.01803621,""
2021-05-31 00:56:47,Spot,POS savings interest,ADA,0.01803621,""
2021-06-01 00:55:04,Spot,POS savings interest,ADA,0.01803621,""
2021-06-02 00:55:30,Spot,POS savings interest,ADA,0.01803621,""
2021-06-03 00:55:37,Spot,POS savings interest,ADA,0.01803621,""
2021-06-04 04:10:53,Spot,POS savings interest,ADA,0.01803621,""
2021-06-05 00:53:18,Spot,POS savings interest,ADA,0.01803621,""
2021-06-06 00:55:02,Spot,POS savings interest,ADA,0.01803621,""
2021-06-07 00:53:48,Spot,POS savings interest,ADA,0.01803621,""
2021-06-08 00:53:26,Spot,POS savings interest,ADA,0.01803621,""
2021-06-09 00:51:35,Spot,POS savings interest,ADA,0.01803621,""
2021-06-10 00:53:10,Spot,POS savings interest,ADA,0.01803621,""
2021-06-11 00:52:19,Spot,POS savings interest,ADA,0.01803621,""
