UTC_Time,Operation,Coin,Amount,Investment,Wallet
2021-03-19 22:37:05,Deposit,BTC,0.00335576,250,BINANCE
2021-03-20 14:33:48,Large OTC trading,BNB,0.36698074,0.00,BINANCE
2021-03-20 14:33:48,Large OTC trading,BTC,-0.00167788,0.00,BINANCE
2021-03-20 14:43:43,Large OTC trading,BTC,-0.00083894,0.00,BINANCE
2021-03-20 14:43:43,Large OTC trading,ETH,0.02684788,0.00,BINANCE
2021-04-11 20:09:52,Large OTC trading,BTC,-0.00083894,0.00,BINANCE
2021-04-11 20:09:52,Large OTC trading,BNB,0.08975519,0.00,BINANCE
2021-04-11 20:10:17,Large OTC trading,ETH,-0.02684788,0.00,BINANCE
2021-04-11 20:10:17,Large OTC trading,BNB,0.10966983,0.00,BINANCE
2021-04-12 19:58:39,Large OTC trading,BUSD,117.23820000,0.00,BINANCE
2021-04-12 19:58:39,Large OTC trading,BNB,-0.20000000,0.00,BINANCE
2021-04-12 20:03:08,Large OTC trading,BUSD,-117.23820000,0.00,BINANCE
2021-04-12 20:03:08,Large OTC trading,BNB,0.19817910,0.00,BINANCE
2021-04-13 13:53:20,Large OTC trading,BNB,-0.10000000,0.00,BINANCE
2021-04-13 13:53:20,Large OTC trading,BUSD,57.03110000,0.00,BINANCE
2021-04-13 14:00:16,Large OTC trading,BUSD,-57.03110000,0.00,BINANCE
2021-04-13 14:00:16,Large OTC trading,BTC,0.00090640,0.00,BINANCE
2021-04-13 14:53:09,Large OTC trading,BNB,0.08975502,0.00,BINANCE
2021-04-13 14:53:09,Large OTC trading,BTC,-0.00090640,0.00,BINANCE
2021-04-13 14:58:14,Large OTC trading,BNB,-0.10000000,0.00,BINANCE
2021-04-13 14:58:14,Large OTC trading,BUSD,57.49680000,0.00,BINANCE
2021-04-13 19:27:36,Large OTC trading,BTC,0.00399949,0.00,BINANCE
2021-04-13 19:27:36,Large OTC trading,BNB,-0.45433988,0.00,BINANCE
2021-04-13 23:40:57,Large OTC trading,BTC,-0.00399949,0.00,BINANCE
2021-04-13 23:40:57,Large OTC trading,BNB,0.45869761,0.00,BINANCE
2021-04-13 23:43:41,Small assets exchange BNB,BNB,0.01002520,0.00,BINANCE
2021-04-13 23:43:41,Small assets exchange BNB,BUSD,-5.63032690,0.00,BINANCE
2021-04-14 03:28:05,Large OTC trading,BTC,0.00414787,0.00,BINANCE
2021-04-14 03:28:05,Large OTC trading,BNB,-0.46872281,0.00,BINANCE
2021-04-14 23:03:40,Deposit,BTC,0.00754503,600,BINANCE
2021-04-15 00:39:09,Large OTC trading,BTC,-0.00292322,0.00,BINANCE
2021-04-15 00:39:09,Large OTC trading,ETH,0.07558716,0.00,BINANCE
2021-04-15 00:50:22,Large OTC trading,ADA,84.51040763,0.00,BINANCE
2021-04-15 00:50:22,Large OTC trading,BTC,-0.00194881,0.00,BINANCE
2021-04-15 00:51:28,Large OTC trading,LTC,0.43875516,0.00,BINANCE
2021-04-15 00:51:28,Large OTC trading,BTC,-0.00194881,0.00,BINANCE
2021-04-16 00:35:12,Large OTC trading,BTC,-0.00194882,0.00,BINANCE
2021-04-16 00:35:12,Large OTC trading,XMR,0.36117953,0.00,BINANCE
2021-04-16 21:02:43,Large OTC trading,XMR,-0.36117953,0.00,BINANCE
2021-04-16 21:02:43,Large OTC trading,USDT,124.13776564,0.00,BINANCE
2021-04-16 21:03:50,Large OTC trading,USDT,-124.13776564,0.00,BINANCE
2021-04-16 21:03:50,Large OTC trading,DOGE,339.06768540,0.00,BINANCE
2021-04-17 03:40:13,Large OTC trading,USDT,101.02894661,0.00,BINANCE
2021-04-17 03:40:13,Large OTC trading,DOGE,-339.06768540,0.00,BINANCE
2021-04-17 03:44:42,Large OTC trading,USDT,-101.02894661,0.00,BINANCE
2021-04-17 03:44:42,Large OTC trading,XMR,0.28155179,0.00,BINANCE
2021-04-22 13:20:38,Large OTC trading,USDT,193.73971741,0.00,BINANCE
2021-04-22 13:20:38,Large OTC trading,ETH,-0.07558716,0.00,BINANCE
2021-04-25 16:26:44,Large OTC trading,USDT,-193.73971741,0.00,BINANCE
2021-04-25 16:26:44,Large OTC trading,ETH,0.08217632,0.00,BINANCE
2021-04-28 03:57:07,Fee,USDT,-0.11825100,0.00,BINANCE
2021-04-28 03:57:07,Buy,USDT,118.25100000,0.00,BINANCE
2021-04-28 03:57:07,Buy,XMR,-0.28155000,0.00,BINANCE
2021-04-29 22:41:07,Deposit,BTC,0.00604704,400,BINANCE
2021-04-29 22:43:06,Large OTC trading,BNB,0.26924077,0.00,BINANCE
2021-04-29 22:43:06,Large OTC trading,BTC,-0.00302352,0.00,BINANCE
2021-04-29 22:44:54,Small assets exchange BNB,XMR,-0.00000179,0.00,BINANCE
2021-04-29 22:44:54,Small assets exchange BNB,BNB,0.00000118,0.00,BINANCE
2021-04-29 23:00:05,Large OTC trading,ETH,0.02914264,0.00,BINANCE
2021-04-29 23:00:05,Large OTC trading,BTC,-0.00151176,0.00,BINANCE
2021-05-02 20:08:04,POS savings purchase,ADA,-84.51040763,0.00,BINANCE
2021-05-03 02:48:32,Buy,ETH,-0.11131000,0.00,BINANCE
2021-05-03 02:48:32,Buy,USDT,337.26930000,0.00,BINANCE
2021-05-03 02:48:32,Fee,BNB,-0.00040389,0.00,BINANCE
2021-05-03 12:16:54,Fee,BNB,-0.00036181,0.00,BINANCE
2021-05-03 12:16:54,Buy,LTC,1.12434000,0.00,BINANCE
2021-05-03 12:16:54,Buy,USDT,-315.11877180,0.00,BINANCE
2021-05-03 12:19:04,Buy,LTC,0.07394000,0.00,BINANCE
2021-05-03 12:19:04,Buy,USDT,-20.74090940,0.00,BINANCE
2021-05-03 12:19:04,Fee,BNB,-0.00002381,0.00,BINANCE
2021-05-04 05:11:45,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-04 09:12:34,Buy,LTC,-1.63703000,0.00,BINANCE
2021-05-04 09:12:34,Fee,BNB,-0.00056659,0.00,BINANCE
2021-05-04 09:12:34,Buy,USDT,494.38306000,0.00,BINANCE
2021-05-04 15:44:51,Large OTC trading,USDT,-495.82542780,0.00,BINANCE
2021-05-04 15:44:51,Large OTC trading,BTC,0.00910102,0.00,BINANCE
2021-05-04 15:48:35,Large OTC trading,USDT,494.80243516,0.00,BINANCE
2021-05-04 15:48:35,Large OTC trading,BTC,-0.00910102,0.00,BINANCE
2021-05-05 10:14:18,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-06 04:28:39,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-07 01:45:41,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-08 02:34:25,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-09 02:11:04,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-10 01:42:43,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-10 20:29:11,Buy,ETH,0.07628000,0.00,BINANCE
2021-05-10 20:29:11,Fee,BNB,-0.00035724,0.00,BINANCE
2021-05-10 20:29:11,Buy,USDT,-300.28613640,0.00,BINANCE
2021-05-10 21:22:42,Small assets exchange BNB,LTC,-0.00000516,0.00,BINANCE
2021-05-10 21:22:42,Small assets exchange BNB,BNB,0.00000291,0.00,BINANCE
2021-05-11 01:43:39,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-11 03:23:17,Buy,ETH,0.08251000,0.00,BINANCE
2021-05-11 03:23:17,Buy,USDT,-312.58335930,0.00,BINANCE
2021-05-11 03:23:17,Fee,BNB,-0.00037203,0.00,BINANCE
2021-05-12 01:42:35,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-13 01:43:48,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-13 22:50:42,Deposit,ETH,0.20827522,970,BINANCE
2021-05-13 23:29:37,transfer_out,BTC,-0.00200000,0.00,BINANCE
2021-05-13 23:29:37,transfer_in,BTC,0.00200000,0.00,BINANCE
2021-05-13 23:34:04,Withdraw,BTC,-0.00150000,-89.88823843,BINANCE
2021-05-13 23:44:10,Large OTC trading,ETH,-0.04165504,0.00,BINANCE
2021-05-13 23:44:10,Large OTC trading,ADA,78.77574795,0.00,BINANCE
2021-05-13 23:44:51,Large OTC trading,ETH,-0.03124128,0.00,BINANCE
2021-05-13 23:44:51,Large OTC trading,BTC,0.00233334,0.00,BINANCE
2021-05-13 23:45:20,Large OTC trading,ETH,-0.03124128,0.00,BINANCE
2021-05-13 23:45:20,Large OTC trading,BNB,0.20270030,0.00,BINANCE
2021-05-13 23:46:01,Small assets exchange BNB,USDT,-0.03293946,0.00,BINANCE
2021-05-13 23:46:01,Small assets exchange BNB,BNB,0.00005672,0.00,BINANCE
2021-05-14 03:35:05,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-15 01:00:21,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-16 01:01:12,POS savings interest,ADA,0.01803621,0.00,BINANCE
2021-05-16 20:00:12,Buy,ETH,-0.26293000,0.00,BINANCE
2021-05-16 20:00:12,Fee,BNB,-0.00122784,0.00,BINANCE
2021-05-16 20:00:12,Buy,USDT,899.22060000,0.00,BINANCE
2021-05-17 01:00:26,POS savings interest,ADA,0.01803621,0.00,BINANCE
